bd_lng,bd_lat
113.2423061,23.41616442
113.6263439,23.13437867
113.4202504,23.12773123
113.3674794,23.26439322
113.5318073,22.79295268
113.399167,23.03229642
113.5143524,23.18606991
113.3267868,23.03519158
113.5051329,23.18537328
113.3698733,22.95033204
113.2025806,23.42868788
113.2838663,23.09570047
113.5623446,23.33608271
113.54527,22.8070491
113.3844031,23.01964891
113.4908837,23.18725598
113.360135,22.97882178
113.4323819,23.1269267
113.3315081,23.28108486
113.2811518,23.20991646
113.3175724,23.0522912
113.2384452,23.42289329
113.5044875,23.4588961
113.3435013,23.15980164
113.2714468,23.21093924
113.3447,23.22265172
113.4710144,23.11062878
113.8190411,23.30419734
113.3036971,23.23424851
113.2757586,23.13689421
113.2251189,23.16819787
113.2842515,23.21048292
113.2251189,23.16819787
113.2842515,23.21048292
113.3343749,22.97928353
113.3293435,23.13875636
113.3250864,23.13823947
113.323037,23.04972349
113.2524037,23.13230373
113.3024074,23.14760692
113.3753042,22.93414387
113.3338337,23.17758959
113.3641334,23.00610426
113.5618416,23.11561118
113.3745139,23.02201829
113.5135162,23.17535511
113.3299908,23.12797703
113.3109958,23.15264642
113.3565625,22.98771759
113.2967207,23.10862386
113.3479772,23.10678581
113.368341,23.12381963
113.3068645,23.14355096
113.2476136,23.13896092
113.3587318,22.93114027
113.2855544,23.08694876
113.3212983,23.11919114
113.349056,23.15309015
113.2265911,23.18106635
113.3286163,23.03744256
113.2422707,23.14707608
113.3480222,23.15505487
113.3693439,22.93153962
113.2206356,23.16622604
113.2206356,23.16622604
113.6032462,23.54653167
113.6330558,23.13186655
113.3503116,23.10886464
113.3540779,23.13488693
113.3752503,23.15297677
113.3956664,23.11286405
113.3920238,22.9448864
113.3359136,22.98057135
113.4285712,23.68188749
113.3237684,23.11481078
113.2488435,23.08797068
113.4077508,22.9480589
113.25149,23.35876
113.3986434,23.01728502
113.3629428,22.99996701
113.3121087,23.23571856
113.4114056,23.13644811
113.3235244,23.13755185
113.2776,23.12786
113.2832596,23.21453413
113.3432113,23.15425745
113.3194918,22.98041305
113.2893965,23.1232679
113.379858,23.14631467
113.294814,23.12150782
113.2850206,23.13604329
113.27785,23.14163864
113.4856996,22.95732682
113.2702791,23.21077577
113.3394016,23.15318669
113.2793327,23.13966414
113.3083286,23.15493256
113.4194333,22.93953249
113.6060423,23.14915447
113.2606588,23.12203785
113.2701164,23.12835388
113.5623446,23.33608271
113.4991783,22.9570015
113.6055316,23.13729417
113.3040132,23.23560631
113.325615,23.11480873
113.2791551,23.10617941
113.2830915,23.21458593
113.2720351,23.11560257
113.3062675,23.24394303
113.2153289,23.1591174
113.2966641,23.23798296
113.2573147,23.08447123
113.5916893,22.81086828
113.3068744,23.13876323
113.4660041,23.18996027
113.3682506,22.92190581
113.5968517,23.17045499
113.3578533,23.14044258
113.3802812,22.96582127
113.3484523,23.1478777
113.31732,23.12676
113.5432728,23.09952992
113.2996819,23.23726189
113.2996394,23.15552404
113.2272129,23.12732863
113.3436469,23.19288803
113.4302356,22.9383928
113.4210743,22.94324232
113.2566952,23.14088811
113.3326016,23.07009836
113.4246981,23.13043531
113.251834,23.08032817
113.2397142,23.11383122
113.3622092,23.01021931
113.333886,23.15173236
113.297458,23.23624515
113.3797992,23.13526054
113.4602749,23.19778964
113.3727385,22.93574938
113.3038022,23.08634483
113.262928,23.13537568
113.2493657,23.4036883
113.3808179,23.02153187
113.23706,23.068604
113.4297706,23.14381993
113.5605654,23.33213661
113.2831759,23.09629664
113.2525358,23.15565084
113.2975645,23.11780399
113.27785,23.14163864
113.3549885,23.15237857
113.3309465,23.10015576
113.3179118,23.05238557
113.3035554,23.08579398
113.3674079,22.92276967
113.376913,23.15086074
113.3112656,23.11473976
113.3136689,23.24489133
113.3498608,23.1634459
113.2241193,23.11785774
113.2813326,23.17995195
113.3182119,23.09545806
113.336057,23.011042
113.3576376,22.9891221
113.3349528,23.13587543
113.3747055,23.14291582
113.5043339,22.95873486
113.3931816,23.11464066
113.3991824,22.95919146
113.3382565,23.18773576
113.3694361,22.93126933
113.331061,23.13057904
113.3739288,22.930177
113.3532315,23.15149839
113.2992026,23.07958544
113.3063762,23.11235278
113.3319634,23.06686013
113.347276,23.15538098
113.4045938,23.13849953
113.5381765,23.1757393
113.2697525,23.0985604
113.319488,23.09540353
113.3747778,23.02762396
113.3072469,23.11289874
113.316034,23.11445752
113.3536396,23.15608791
113.2969442,23.23555468
113.3913085,23.02111818
113.4709809,23.11853548
113.3993874,23.0321613
113.5735851,23.1474464
113.4434178,23.15377685
