id,lat_min,lng_min,lat_max,lng_max,Shape_Length,Shape_Area
1,23.45565466,113.6778331,23.45980722,113.6823319,2000,250000
2,23.31894313,113.4938745,23.32307874,113.4983508,2000,250000
3,23.39754255,113.8842289,23.40168496,113.8887134,2000,250000
4,23.19440495,113.3007477,23.19856534,113.3052473,2000,250000
5,23.58395436,113.6059083,23.58809462,113.6103995,2000,250000
6,23.19035623,113.3592512,23.19451698,113.3637507,2000,250000
7,23.5179377,113.4894119,23.52206619,113.4938884,2000,250000
8,23.86926251,113.8528878,23.87338376,113.8573683,2000,250000
9,23.14861411,113.5251946,23.15275643,113.5296714,2000,250000
10,23.24835095,113.2557928,23.25250297,113.2602855,2000,250000
11,23.73701772,113.9291356,23.74115628,113.9336296,2000,250000
12,23.61293485,113.6238789,23.61707723,113.6283734,2000,250000
13,23.83205304,113.9291418,23.83618819,113.9336359,2000,250000
14,23.0574043,113.3862279,23.06156582,113.3907233,2000,250000
15,23.09873121,113.5296678,23.10287558,113.5341451,2000,250000
16,23.62983668,113.3862675,23.63397779,113.3907629,2000,250000
17,23.24836377,113.2288542,23.25251135,113.2333424,2000,250000
18,23.12807959,113.3997152,23.13223637,113.4042079,2000,250000
19,23.19418659,113.6103734,23.19834186,113.6148654,2000,250000
20,23.2983142,113.0672822,23.30247073,113.0717825,2000,250000
21,23.48060186,113.507313,23.48473143,113.511789,2000,250000
22,23.26543752,113.1828355,23.26918814,113.1840071,1057.112694,24677.59565
23,23.33150179,113.4490903,23.33564184,113.4535721,2000,250000
24,23.36885242,113.3772567,23.37300461,113.3817537,2000,250000
25,23.30659293,113.3547595,23.31075,113.3592595,2000,250000
26,23.44319628,113.6643365,23.44734912,113.6688353,2000,250000
27,23.26487511,113.6823189,23.26903452,113.6868177,2000,250000
28,23.12369444,113.5207166,23.12783725,113.5251932,2000,250000
29,23.29826969,113.4670095,23.30240825,113.4714883,2000,250000
30,23.40188263,113.2917647,23.40603462,113.2962633,2000,250000
31,23.25650798,113.6463329,23.26066636,113.6508305,2000,250000
32,23.32297193,113.974084,23.32713291,113.9785857,2000,250000
33,23.50978739,113.3952483,23.51393137,113.3997419,2000,250000
