id,lat_min,lng_min,lat_max,lng_max,status,roadNum,statusCode
88,23.20262635,113.7003072,23.20678692,113.7048047,?,?,0
89,23.43935041,113.1077575,23.4434938,113.1122491,?,?,0
90,23.54672255,113.8707898,23.55085969,113.873442,?,?,0
91,23.31492669,113.4356389,23.31906981,113.4401235,?,?,0
92,23.35624367,113.2468174,23.3603903,113.2513086,1,2,0
93,23.64201602,113.6958391,23.64616093,113.700337,?,?,0
94,23.38951738,113.0402703,23.39367495,113.0447755,?,?,0
95,23.45166156,113.0267566,23.4558183,113.0312633,1,1,0
96,23.29798963,113.578964,23.30213501,113.5834493,1,2,0
97,23.76192647,113.8170441,23.76605102,113.8215242,1,5,0
98,23.15290174,113.323245,23.15706501,113.327746,2,5,0
99,23.26503721,113.1840068,23.26917978,113.1884904,?,?,0
100,23.89818154,113.9651208,23.90232051,113.9696214,?,?,0
101,23.34789051,113.6958193,23.35204628,113.7003172,?,?,0
102,23.32318649,113.458052,23.32732541,113.4625323,1,7,0
103,23.50953644,113.821507,23.5136701,113.8259869,?,?,0
104,23.177716,113.8035636,23.18186274,113.8080448,1,1,0
105,23.37699656,113.2243757,23.38113885,113.2288632,1,3,0
106,23.21923443,113.8125277,23.22337905,113.8170081,?,?,0
107,23.49717082,113.7317961,23.50131683,113.7362892,?,?,0
108,22.76167089,113.5117406,22.76582419,113.5162168,1,3,0
109,23.26063589,113.6283497,23.26479188,113.6328449,?,?,0
110,23.30223752,113.9785841,23.30639966,113.9830861,?,?,0
111,23.27726482,113.5610309,23.28140751,113.5655127,1,4,0
112,23.64207199,113.7407908,23.64621119,113.7452824,?,?,0
113,23.60054914,113.5610525,23.60467996,113.5655343,1,1,0
114,22.79103898,113.4131663,22.79520335,113.417656,1,2,0
115,23.43105551,113.4266753,23.43519616,113.4311618,1,4,0
116,23.12678979,113.763204,23.12789543,113.7676911,?,?,0
117,23.72059907,113.8125612,23.72472537,113.8170416,?,?,0
118,23.48879881,113.834944,23.4929331,113.8394237,?,?,0
119,23.50539791,113.6913318,23.50954817,113.6958301,?,?,0
120,23.21098729,113.2737651,23.21514357,113.2782609,1,3,0
121,23.64219821,113.3502828,23.64634324,113.354783,?,?,0
122,23.09886824,113.3187407,23.10303315,113.3232416,1,7,0
123,23.34776419,113.6058926,23.35191316,113.6103838,1,1,0
124,23.12376596,113.2162894,23.12791714,113.2198725,1,12,0
125,23.14451651,113.251294,23.14867133,113.2557861,3,8,0
126,23.77025906,114.0056306,23.77440507,114.010134,?,?,0
127,23.8113891,113.9111754,23.81552135,113.9156655,?,?,0
128,23.53433823,113.547608,23.53846929,113.5520876,?,?,0
129,23.10718926,113.4804304,23.11133299,113.4849077,1,3,0
130,23.43516056,113.0582887,23.43931374,113.0627909,?,?,0
131,23.33567437,113.3817511,23.33982708,113.3862473,1,1,0
132,23.59241502,113.2558161,23.59655444,113.2603088,1,2,0
133,23.43501116,113.7272982,23.43916016,113.7317922,?,?,0
134,23.34795943,113.2288609,23.35210344,113.2333491,1,6,0
135,23.09063637,113.3637436,23.0948,113.3682425,?,?,0
136,23.43492378,113.6733331,23.43907712,113.677832,?,?,0
137,23.27758702,113.4266647,23.28173325,113.4311512,?,?,0
138,23.08651229,113.4221642,23.09066595,113.4266518,?,?,0
139,23.31457803,113.6148731,23.31872988,113.619366,1,1,0
140,23.52599716,113.5834642,23.53013509,113.5879506,1,4,0
141,23.46813161,113.8080639,23.47226755,113.8125445,?,?,0
142,23.0114829,113.2647627,23.01564432,113.2692571,?,?,0
143,23.87340757,113.8439286,23.87752813,113.8484085,1,1,0
144,23.26895277,113.8707716,23.27309781,113.8752541,?,?,0
145,23.60909067,113.4625517,23.6132184,113.4670312,1,4,0
146,23.67948351,113.3952602,23.6836212,113.3997538,1,1,0
147,23.38930118,113.848376,23.39343967,113.8528561,?,?,0
148,23.30643492,113.7946088,23.31057808,113.7990911,1,3,0
149,23.16111179,113.7945992,23.16526004,113.7990814,1,1,0
150,23.45144176,113.9381052,23.4555926,113.9426011,1,1,0
151,23.65050916,113.4401465,23.65463906,113.4446302,?,?,0
152,23.4930577,113.4983624,23.49718681,113.5028385,1,3,0
153,23.50553474,113.1885065,23.50966871,113.1929902,?,?,0
154,23.44325412,113.5252144,23.44738593,113.5296912,?,?,0
155,23.38948389,113.192982,23.39362238,113.197466,1,1,0
156,23.82395279,113.7811942,23.82807876,113.7856784,1,1,0
157,23.24833528,113.7227913,23.25249168,113.727286,?,?,0
158,23.14469304,113.3862339,23.14885169,113.3907293,?,?,0
159,23.28148276,113.8259714,23.28562464,113.8304511,1,10,0
160,23.64224632,113.4311763,23.64637826,113.4356619,?,?,0
161,23.18613629,113.3232472,23.19029843,113.3277483,2,2,0
162,23.16941084,113.7092991,23.17357167,113.7137956,1,1,0
163,23.20269212,113.224364,23.20684062,113.2288514,3,9,0
164,23.35631507,113.1884963,23.36045455,113.19298,1,1,0
165,23.22335672,113.5341532,23.22749733,113.5386309,?,?,0
166,23.33123635,113.9605838,23.33539536,113.9650836,?,?,0
167,23.37698801,113.2333508,23.38113165,113.2378397,1,1,0
168,23.181907,113.2557883,23.18606133,113.260281,2,7,0
169,23.44314618,113.8797482,23.44728618,113.8842321,?,?,0
170,23.1651921,113.6733152,23.16935506,113.6778141,1,4,0
171,22.669828,113.5744386,22.67399189,113.5789232,1,6,0
172,23.19970619,113.8931855,23.20249642,113.8970204,1,2,0
173,23.77423225,113.942622,23.77837203,113.9471187,?,?,0
174,22.64479279,113.6013569,22.64896274,113.6058471,1,12,0
175,23.51788516,113.7362903,23.52202969,113.7407827,1,2,0
176,23.85282745,113.8080898,23.85694933,113.8125705,1,3,0
177,23.31909051,113.1077493,23.32323829,113.1122409,1,2,0
178,23.22342311,113.7227896,23.22758039,113.7272843,1,1,0
179,23.298327,113.3772519,23.30248173,113.3817488,?,?,0
180,23.24008915,113.2064239,23.24423413,113.2109091,1,6,0
181,23.08209115,113.5341438,23.08623653,113.5386215,?,?,0
182,23.55937356,113.3232728,23.56352218,113.3277739,?,?,0
183,23.26918254,113.3232529,23.27334178,113.327754,1,6,0
184,23.12370767,113.5162406,23.12785022,113.5207169,1,1,0
185,23.07801187,113.5072858,23.08215564,113.5117619,1,2,0
186,23.14051668,113.3682457,23.14467812,113.372744,2,4,0
187,23.20681478,113.7856365,23.21096258,113.79012,1,3,0
188,22.80741088,113.5430813,22.81156566,113.5475601,1,2,0
189,23.3563765,113.3547629,23.36053177,113.3592629,1,1,0
190,23.54289215,113.4446224,23.54702521,113.4491052,?,?,0
191,23.51392661,113.3907545,23.51807125,113.3952489,1,1,0
192,23.14451601,113.7407573,23.1486732,113.7452489,?,?,0
193,23.4059222,113.5341654,23.41005626,113.5386431,?,?,0
194,23.33137224,113.2872622,23.33552622,113.2917602,1,7,0
195,23.87359166,114.0281512,23.87773286,114.0326533,?,?,0
196,23.39789065,113.426673,23.40203253,113.4311595,1,2,0
197,23.06984944,113.4490723,23.0739985,113.4535542,?,?,0
198,23.82383508,113.8528847,23.82795793,113.8573652,?,?,0
199,23.32722354,113.2872619,23.33137767,113.2917599,1,5,0
200,23.65443869,113.5207524,23.65856235,113.525229,?,?,0
201,23.11532157,113.5431015,23.11946696,113.5475803,1,2,0
202,23.42244086,113.6463439,23.42659325,113.6508415,?,?,0
203,23.50561774,113.3682708,23.50976612,113.3727692,?,?,0
204,23.09466729,113.4983354,23.09881053,113.5028115,1,7,0
205,23.69990499,113.6868466,23.70404827,113.6913452,?,?,0
206,23.48065481,113.201956,23.48479062,113.2064405,1,4,0
207,23.77838229,113.8573619,23.78250714,113.8618428,?,?,0
208,23.29413574,113.3502587,23.29829359,113.3547589,1,7,0
209,23.17355469,113.52072,23.17769582,113.5251966,?,?,0
210,23.11127077,113.2512918,23.1154267,113.2557838,3,9,0
211,23.6629345,113.4266915,23.66706656,113.431178,?,?,0
212,23.27344437,113.408709,23.27759437,113.4131996,1,1,0
213,23.29832255,113.4401221,23.30246541,113.4446058,?,?,0
214,23.22346728,113.215393,23.22761385,113.2198792,1,3,0
215,23.15278923,113.803562,23.15693682,113.8080432,?,?,0
216,23.33126373,113.6778248,23.33542084,113.6823236,?,?,0
217,23.5012888,113.516266,23.50541788,113.5207423,?,?,0
218,23.55516175,113.7542561,23.55930188,113.7587451,?,?,0
219,22.58223871,113.619318,22.58641359,113.6238116,?,?,0
220,23.26489191,113.6913157,23.26905094,113.695814,?,?,0
221,23.87761614,113.7991293,23.88173797,113.8036109,?,?,0
222,23.43519947,113.1212285,23.43934059,113.1257174,?,?,0
223,23.27730183,113.668824,23.28146083,113.6733229,1,1,0
224,23.41015569,113.2378416,23.41429884,113.2423312,1,2,0
225,22.66159777,113.695774,22.66577495,113.7002718,?,?,0
226,23.59234259,113.6868393,23.59648984,113.6913379,?,?,0
227,23.1862093,113.4490803,23.19035449,113.4535621,1,5,0
228,23.14467812,113.372744,23.14883884,113.3772416,?,?,0
229,23.60069322,113.2603091,23.60483309,113.2648027,?,?,0
230,23.21114829,113.3772459,23.2153061,113.3817428,1,4,0
231,23.71256772,113.4132299,23.71670069,113.4177195,1,2,0
232,23.50539428,113.8215067,23.50952809,113.8259866,?,?,0
233,23.12376306,113.2917459,23.12792485,113.2962445,1,11,0
234,22.91177291,113.4445791,22.91592766,113.4490619,?,?,0
