id,population,num_zhuzhai,fangjia,zujin,shoujia,RoadDensity,RoadNum1,2RoadStatus,gonggong,tingchechang,yiyuan,gongyuan,shangchang,tuoyujigou
56,26.99768639,0,15681.64666,65.79373888,21920.28583,3.089243985,0,0,0,0,0,0,0,0
57,20.03303337,0,11433.2953,86.62192837,26613.31549,6.94242063,1,1,0,0,0,0,0,0
58,889.007019,0,15419.34026,146.8211683,26330.35511,0,0,0,0,0,0,0,0,0
59,11.89577866,0,15802.24252,131.3353035,22054.34526,6.324837615,0,0,0,1,0,0,0,0
60,6.729415894,0,23597.14059,72.83051786,16585.50748,0,0,0,0,0,0,0,0,0
61,3960.763672,0,11255.62822,56.55241914,11909.59821,23.16035696,5,1,0,0,0,0,0,0
62,258.9815979,0,19955.79019,127.395489,23727.86704,8.315854467,1,1,0,0,0,0,0,0
63,98.54735565,0,15686.59714,36.88358243,10326.92482,0,0,0,0,0,0,0,0,0
64,13.78700352,0,13390.79133,47.29364169,11484.23488,0,0,0,0,0,0,0,0,0
65,3.635717154,0,23669.33338,63.4642503,15988.37079,0,0,0,0,0,0,0,0,0
66,820.4578857,2,21841.76857,51.39964935,41502.90045,31.30656603,0,0,0,0,0,0,0,0
67,27.15453339,0,13701.75315,60.61410307,27993.71975,4.749452434,1,1,0,0,0,0,0,0
68,64.42915344,0,14555.34392,100.6439651,28608.85902,0,0,0,0,0,0,0,0,0
69,172.8038788,0,11572.03917,84.40702038,23628.31247,1.214607785,2,1,0,0,0,0,0,0
70,133.1615295,0,11448.998,48.05821088,29461.41702,3.810683052,0,0,0,0,0,0,0,0
71,286.6741638,0,26870.94596,30.19528757,11656.09391,7.53027479,2,1,0,1,0,0,0,0
72,59.14893723,0,14731.20417,86.73680194,27947.55215,7.263060159,4,1,0,1,0,0,0,0
73,1027.596191,0,28859.73371,77.94023121,79928.52479,23.28993108,4,2,2,0,0,0,0,0
74,11.0913229,0,17026.52593,97.35273658,20516.83091,0,0,0,0,0,0,0,0,0
75,19.01842117,0,14801.28063,28.52296111,24101.07299,0,0,0,0,0,0,0,0,0
76,157.1398926,0,17083.28697,106.5659383,25940.53965,0.110398065,0,0,0,0,0,0,0,0
77,15.7872591,0,13805.90531,63.69511559,26311.11571,12.17913029,1,1,0,0,0,0,0,0
78,233.5209808,6,19372.97788,66.63855138,27396.87444,6.33745692,2,1,0,0,0,0,0,0
79,1607.392456,3,15438.28095,71.12996824,45480.83607,54.32333148,6,1,0,1,0,0,0,0
80,372.2236633,0,23240.41238,86.58753617,59659.6521,22.41817038,2,1,0,0,1,0,0,0
81,20.3217144,0,16703.12337,67.31362509,15639.07268,3.219037844,0,0,0,0,0,0,0,0
82,169.3900604,0,21267.0169,137.19772,38620.42769,3.718741452,0,0,0,0,0,0,0,0
83,12303.97266,3,36754.18987,151.1778562,46625.82012,96.67799336,10,2,0,0,2,0,1,0
84,130.8017426,0,35212.04154,154.5153725,36830.00766,5.360810127,3,1,0,0,0,0,0,0
85,3157.110352,4,40323.24422,71.03092309,57485.52771,11.27956396,1,1,0,2,0,0,0,0
86,97.03820038,0,15199.20319,74.71677813,28721.50812,4.124033599,2,1,0,0,0,0,0,0
87,86.29683685,0,39643.93596,120.3835629,32125.87587,1.240615713,0,0,0,0,0,0,0,0
88,50.16073608,0,24754.39355,54.70624808,21244.60084,7.100536066,0,0,0,0,0,0,0,0
89,141.3621216,0,25130.83367,70.4164956,19593.72305,0,0,0,0,0,0,0,0,0
90,11.5391264,0,15800.52142,76.41737872,19389.03526,2.178711391,0,0,0,0,0,0,0,0
91,50.76617432,0,16953.90677,20.24588212,15347.83381,0,0,0,0,0,0,0,0,0
