id,population,num_zhuzhai,fangjia,zujin,shoujia,RoadDensity,RoadNum1,2RoadStatus,gonggong,tingchechang,yiyuan,gongyuan,shangchang,tuoyujigou
1580,6916.36084,8,39461.95465,577.4434791,41568.06501,153.6718283,7,1,3,10,1,1,0,1
1585,9313.594727,3,52616.79778,178.2424134,49274.91779,37.11388764,5,1,0,4,0,1,0,1
1628,14025.25391,14,41257.84613,253.3397016,49331.43279,100.1397173,9,3,2,3,1,0,2,1
1651,47.18891907,0,43106.09065,151.8814863,45730.09521,4.272959755,0,0,0,0,0,0,0,1
1655,4784.294922,3,11173.8953,70.42564477,68214.78669,22.59478039,4,1,0,1,0,1,0,1
1657,158.0111237,2,37506.90775,194.8206544,91638.84217,43.00431238,2,1,2,0,0,0,0,1
1691,166.6448364,1,36223.53311,198.9508959,41738.02408,54.42460339,2,1,0,0,0,0,0,1
1743,5136.375977,9,58149.51627,388.2755907,43995.17149,111.8513225,11,1,6,1,1,1,0,1
1776,102.1768188,2,30094.17316,330.1576477,51061.43021,0,0,0,0,0,0,0,0,1
1876,11346.5957,34,52667.87782,293.5169411,38750.60535,148.3859959,5,1,0,2,0,1,0,1
1949,462.317688,1,28682.49264,229.1792977,39557.50225,5.440772922,0,0,0,0,0,0,0,1
1995,116.6095886,0,26314.2444,116.9491926,57917.51827,11.72027542,0,0,0,0,0,0,0,1
2011,14728.50488,12,32994.67799,190.9402872,29536.05127,88.52812963,4,1,0,2,0,0,0,1
2055,1199.109131,4,28987.06097,113.9158818,17831.29913,14.84337913,0,0,0,0,0,0,0,1
2187,55.70168686,0,24722.45097,73.78474497,39117.95531,16.64546989,6,1,0,1,0,0,0,1
2211,6829.087891,20,54094.21778,163.448769,45388.19516,120.0073126,4,3,0,7,0,0,0,1
2213,3234.078613,1,65247.58009,147.8907498,46125.33106,164.1722353,5,2,2,0,0,0,0,1
2215,381.1678467,3,39390.16156,222.232365,34447.10773,6.746913509,0,0,0,0,0,0,0,1
2226,574.7199097,3,34088.54807,159.3554633,14517.1283,11.62695609,0,0,0,0,0,0,0,1
2265,1476.865479,1,25595.16998,128.5772205,8985.09735,43.96725603,5,2,0,0,0,0,1,1
2304,872.3049927,0,16433.77992,333.905677,5918.517386,27.69047696,4,1,0,0,0,0,0,1
2309,2477.348877,1,19292.50124,50.48823591,28061.86803,55.34081998,4,1,0,2,1,0,4,1
2453,3800.961426,7,40913.64267,143.3622809,54221.68338,25.29167449,1,1,0,7,0,0,0,1
2460,659.7841187,0,17995.80387,66.93461577,46158.65679,3.701647929,1,1,0,0,0,0,0,1
2466,524.5663452,0,16614.70789,152.9780351,17882.37535,17.07262204,5,1,0,0,0,0,0,1
2468,346.1545105,6,44802.48082,62.55506344,21790.59358,8.132150032,0,0,0,0,0,0,0,1
2479,1006.002625,3,12482.12081,73.85375041,25797.3114,4.794259513,2,1,1,0,0,0,0,1
2533,22315.34961,24,41889.16887,197.604775,65238.24844,42.95605869,9,1,0,3,0,0,0,1
2536,6627.587402,3,16123.38528,31.51492316,37529.17589,17.05835423,6,1,0,0,2,0,0,1
2541,373.8885803,1,24638.97134,153.2290319,24216.149,6.772911964,1,1,0,0,0,0,0,1
2653,5926.302246,3,34094.24111,1208.398287,34304.14478,111.0874014,2,1,0,2,5,0,0,1
2703,1207.935791,1,19895.50378,73.4862036,30822.75344,31.48195051,2,1,0,1,0,0,0,1
2766,196.4947662,6,26854.29138,103.2826156,230556.1657,20.36811783,4,1,3,3,0,0,1,1
2793,3852.320801,3,69270.8257,163.868279,150320.831,42.1688552,2,1,0,1,0,1,0,1
2816,194.9757996,2,16224.47574,206.1524076,43501.61687,13.89218777,3,1,0,0,0,0,0,1
2821,28538.78125,10,41071.99983,160.326308,49814.20929,117.643016,13,2,2,9,3,3,2,1
2832,3071.55249,0,47900.68546,210.7232317,74866.85037,97.306959,4,1,0,1,10,0,0,1
2842,25.7636261,0,17025.90634,53.73960081,18483.4297,1.169005526,0,0,0,0,0,0,0,1
3001,167.0054626,4,28610.79919,220.4048297,24585.90669,58.29090199,3,1,2,0,0,0,0,1
3038,8002.390625,30,60262.56224,237.8925169,51506.79604,64.63118912,5,2,0,18,0,1,0,1
3062,15839.06738,15,47899.32716,136.1248104,37584.95402,86.08599983,11,1,0,12,0,3,0,1
3119,5813.642578,20,43279.69825,161.1590708,53499.0881,142.4553473,4,1,0,0,1,0,0,1
3127,2160.061768,2,80738.15461,569.8015872,86243.16831,56.99449155,4,3,3,0,0,0,0,1
3205,109.8289795,0,20487.699,80.63116124,43039.47749,4.201140716,1,1,0,0,0,0,0,1
3207,3053.976074,3,30123.04931,75.92402906,18546.79652,34.9476491,4,2,0,0,0,0,0,1
3241,854.8139038,0,33436.34437,61.88810739,27742.2843,9.980686687,0,0,0,2,0,0,0,1
3257,2042.694336,11,38044.50973,118.2462115,23649.2653,28.07159781,0,0,0,1,0,0,0,1
3344,1706.718262,5,12841.81823,65.04192105,53367.13,20.40234687,7,1,0,0,0,0,3,1
3372,39.49405289,1,23520.5901,66.73774568,14122.16194,1.672498686,0,0,0,0,0,0,0,1
3391,8482.726563,4,64012.97963,251.8687485,78813.72309,74.30482756,5,1,2,0,0,1,0,1
3396,32439.42188,27,51028.46657,247.2029316,34072.6966,193.6347563,8,2,2,11,0,0,0,1
3435,222.2243652,0,17820.53361,63.90684688,115664.7309,7.206087343,10,1,0,2,0,0,2,1
3456,1015.251526,4,43142.08684,162.7310004,38439.66623,16.13661087,4,1,0,0,0,0,0,1
3713,4029.388184,0,31930.08347,44.30286094,21685.27782,142.4440759,6,1,0,0,0,0,0,1
3762,13421.40039,9,42801.75318,191.6005683,48422.3031,56.24250648,8,1,2,8,2,0,2,1
3771,1508.687256,0,24210.41804,97.10275691,37531.35876,12.93957542,2,1,0,2,0,0,0,1
3775,122.3862686,4,8437.500203,40.46566048,22011.80066,7.215978006,1,1,0,0,0,0,0,1
3791,4488.349121,1,9950.027982,79.71284647,23098.57731,13.22174861,5,1,0,3,0,0,0,1
3819,137.7480621,4,14537.7431,34.67402029,42864.58499,7.526509083,1,1,0,0,0,0,0,1
3888,435.1975708,0,18858.74674,96.4342795,77634.17098,21.12036851,7,1,0,0,0,0,0,1
3893,266.2242432,0,20276.44183,52.91962594,40737.5944,13.10405798,1,1,0,0,0,0,0,1
3907,260.7084961,7,16370.44937,71.40033437,45323.10645,13.91176699,4,1,1,0,0,0,2,1
3992,377.2349854,18,68418.54875,273.4727942,45002.23052,13.75640993,0,0,0,0,0,0,0,1
3999,944.0065308,3,49916.76589,194.3108607,42661.22674,16.18207592,1,1,0,0,0,0,0,1
