id,center_lat,center_lng,bd_lat,bd_lng
1,23.45773094,113.6800825,23.46355962,113.6866203
2,23.32101094,113.4961127,23.32712144,113.5026071
3,23.39961376,113.8864712,23.40593591,113.8929046
4,23.19648515,113.3029975,23.20261079,113.309491
5,23.58602449,113.6081539,23.59199034,113.6146547
6,23.19243661,113.361501,23.19829419,113.3680504
7,23.52000195,113.4916502,23.52603133,113.4981441
8,23.87132314,113.8551281,23.87741195,113.8616005
9,23.15068527,113.527433,23.15699851,113.5338596
10,23.25042696,113.2580392,23.25656177,113.2644911
11,23.739087,113.9313826,23.74477579,113.9379293
12,23.61500604,113.6261262,23.62125693,113.6325543
13,23.83412062,113.9313889,23.83981022,113.9379401
14,23.05948506,113.3884756,23.06576855,113.3949353
15,23.1008034,113.5319065,23.10707976,113.5383494
16,23.63190724,113.3885152,23.63818605,113.3949487
17,23.25043756,113.2310983,23.2561496,113.237637
18,23.13015798,113.4019616,23.1364924,113.408373
19,23.19626423,113.6126194,23.20231462,113.6191284
20,23.30039247,113.0695324,23.30640431,113.0760479
21,23.48266665,113.509551,23.48895372,113.5159727
22,23.26731283,113.1834213,23.27342501,113.1898857
23,23.33357182,113.4513312,23.33926726,113.4579006
24,23.37092852,113.3795052,23.37708687,113.3859522
25,23.30867147,113.3570095,23.31446161,113.363573
26,23.4452727,113.6665859,23.45133615,113.673087
27,23.26695482,113.6845683,23.27271664,113.6911042
28,23.12576585,113.5229549,23.13209846,113.5293672
29,23.30033897,113.4692489,23.30604122,113.4758279
30,23.40395863,113.294014,23.41021188,113.3004659
31,23.25858717,113.6485817,23.26489066,113.6550012
32,23.32505242,113.9763349,23.3311666,113.9828259
33,23.51185938,113.3974951,23.51819497,113.4039171
34,22.74278188,113.5677187,22.74850865,113.5742705
35,23.49079674,113.9313662,23.49648524,113.93791
36,23.37490754,113.7654641,23.38123107,113.7718779
37,23.349865,113.6395943,23.35620385,113.6460146
38,23.33361269,113.4154482,23.33984889,113.4219063
39,23.82192392,114.0123887,23.82819607,114.0188298
40,22.95540456,113.3299829,22.96111408,113.3365613
41,23.24626189,113.7250384,23.25217032,113.7315371
42,23.37077503,113.2850164,23.37709919,113.2914291
43,23.48666338,113.873027,23.4929785,113.8794419
44,23.15917392,113.4647604,23.16484387,113.4713269
45,23.31286153,113.388493,23.31914578,113.3949547
46,23.83410811,113.8999568,23.84027687,113.9064077
47,23.15261098,113.8618749,23.15880844,113.868327
48,23.80944313,113.6936014,23.81512317,113.7001791
49,23.34189616,113.1279546,23.34785948,113.1344601
50,23.73098129,113.7340584,23.73704917,113.7405238
51,23.15072169,113.7968395,23.15660017,113.8033547
52,23.62338978,113.5274648,23.62970156,113.5338843
53,23.31280994,113.1593517,23.31915321,113.1658012
54,23.42053025,113.5005954,23.42671316,113.5070756
55,23.39140467,113.5364032,23.39762543,113.5428488
56,23.46601503,113.8327028,23.47174507,113.8392521
57,23.52428367,113.4199503,23.53045547,113.4264192
58,23.28363604,113.765458,23.28996425,113.7718947
59,23.35001196,113.7295394,23.35600172,113.7360313
60,23.90018048,113.8865042,23.90650609,113.8929537
61,23.11319292,113.6395787,23.11953122,113.6459969
62,22.94700988,113.5005634,22.95319267,113.5070466
63,23.3914818,113.5095449,23.39777082,113.5159765
64,23.52000653,113.3075191,23.52605056,113.31401
65,23.79697945,113.8551231,23.8030738,113.8616225
66,23.07169176,113.5363818,23.07791853,113.542856
67,23.20872605,113.6171125,23.2148523,113.6235981
68,23.54898741,113.3030215,23.55511293,113.3095158
69,23.4455692,113.4019834,23.45191035,113.4084269
70,23.61122411,113.4154675,23.61745467,113.4218991
71,23.35827862,113.5184944,23.36461482,113.5249085
72,23.18797093,113.6305924,23.19427527,113.6370506
73,23.09274447,113.3884779,23.09902607,113.3949281
74,23.39978046,113.7340359,23.40585198,113.740521
75,23.42035278,113.9358558,23.42602251,113.9424416
76,23.23793789,113.801327,23.24374384,113.8078501
77,23.20872914,113.6216054,23.21492598,113.6280766
78,23.41636877,113.2580504,23.42251085,113.2645365
79,23.04281776,113.4513113,23.04851261,113.4578763
80,23.03868665,113.4333772,23.04462651,113.439888
81,23.45780303,113.7250526,23.4637161,113.7315729
82,23.5116774,113.2445829,23.51758061,113.2510944
83,23.12997244,113.2535389,23.13603103,113.2600065
84,23.19218083,113.5453459,23.198267,113.5518486
85,23.03032761,113.3524907,23.03605579,113.359036
86,23.46213014,113.3795116,23.46829217,113.3859758
87,23.21318295,113.4602845,23.21884401,113.466861
88,23.20470664,113.702556,23.21037145,113.7091391
89,23.44142211,113.1100033,23.44713162,113.1165804
90,23.54879112,113.8721159,23.55510808,113.8785707
91,23.31699825,113.4378812,23.32286553,113.4444275
92,23.35831699,113.249063,23.36429702,113.2555504
93,23.64408848,113.6980881,23.64974996,113.7046628
94,23.39159617,113.0425229,23.39793062,113.048945
95,23.45373993,113.02901,23.46002572,113.0354573
96,23.30006232,113.5812067,23.30572574,113.5877935
97,23.76398875,113.8192842,23.76964838,113.8258595
98,23.15498338,113.3254955,23.16073579,113.3320408
99,23.2671085,113.1862486,23.27317225,113.1927227
100,23.90025103,113.9673711,23.9062077,113.973898
101,23.3499684,113.6980683,23.35562704,113.7046282
102,23.32525595,113.4602922,23.33091842,113.4668758
103,23.51160327,113.823747,23.51726663,113.8303078
